wind_speed,swr,ModelParameters/a_seiche,ModelParameters/k_min,ModelParameters/beta_sol,ModelParameters/p_windf,par_id
0.20457,0.7097,0.0023736,1.1742e-15,0.41076,1.6091,p0370
1.9156,0.71755,0.0028638,2.3265e-14,1.7244,1.7731,p0371
1.9301,0.53188,0.0018872,3.2571e-06,0.99555,1.9152,p0372
1.7887,0.54586,0.0011833,4.5618e-08,0.89885,0.21026,p0373
1.1077,0.50812,0.0027259,3.8935e-10,1.6659,1.063,p0374
1.4547,0.49876,0.0024929,7.272e-08,0.7918,0.36966,p0375
0.51436,1.4833,0.0013618,7.3314e-14,0.23378,1.878,p0376
1.0431,0.96395,0.0022367,5.7602e-14,0.46964,1.6634,p0377
0.61981,0.5852,0.0015839,5.1918e-06,1.1273,0.23377,p0378
0.97757,0.73192,0.0019388,3.3662e-12,1.9839,1.5846,p0379
0.99364,1.4347,0.0023512,3.0271e-11,0.42352,0.56428,p0380
1.457,0.45796,0.00097281,6.6593e-13,0.5808,0.65322,p0381
0.7448,0.80795,0.0015138,8.6759e-13,0.56692,0.8036,p0382
1.9482,1.1824,0.0021886,7.0055e-10,0.60883,0.42831,p0383
1.0566,0.75627,0.002309,1.6748e-11,1.2432,1.1894,p0384
1.1225,1.333,0.0019967,1.1616e-14,0.75302,1.6068,p0385
1.4683,0.46139,0.0014658,7.7216e-06,1.0859,0.10592,p0386
1.5356,0.60243,0.0027629,6.1446e-14,1.3396,1.7337,p0387
1.9745,0.98079,0.0016707,3.6807e-10,0.91963,0.28883,p0388
1.9172,1.2582,0.0022238,1.3164e-09,0.40444,0.40198,p0389
0.31337,0.28952,0.0021545,8.5232e-06,1.946,1.5285,p0390
1.775,0.59054,0.001237,2.3296e-08,0.62297,0.24112,p0391
0.39082,0.60744,0.0028129,1.6494e-15,0.86952,1.8105,p0392
0.71286,1.2082,0.0025724,5.5984e-06,1.8457,1.4754,p0393
1.3061,0.87016,0.0015324,1.1426e-08,1.6009,1.4921,p0394
0.5528,1.4799,0.0016487,7.011e-06,1.0709,1.8471,p0395
1.812,0.89745,0.0012623,3.1741e-14,1.7894,0.96875,p0396
1.0233,0.48815,0.0025363,7.3078e-09,1.9221,1.8524,p0397
0.58945,1.0378,0.0011249,9.4225e-12,0.85874,1.2904,p0398
1.8956,0.32261,0.0022005,2.0315e-09,0.66343,0.11232,p0399
0.25564,1.1239,0.0010492,2.145e-15,0.32026,1.7685,p0400
1.8302,1.1591,0.0009342,1.299e-11,1.8601,0.3568,p0401
1.1964,0.11162,0.00096043,1.1893e-10,0.035063,0.30703,p0402
1.4402,0.72,0.0020045,1.8085e-10,0.97749,0.26069,p0403
1.0773,0.79899,0.002215,6.4573e-06,1.6104,0.86298,p0404
0.18655,0.75946,0.0010572,5.0304e-11,0.16864,1.6559,p0405
1.7503,1.3247,0.0024674,1.1241e-12,1.0038,1.5058,p0406
0.81534,0.69387,0.0025491,3.8717e-12,0.9128,1.0422,p0407
0.59939,0.27336,0.0025267,3.8516e-07,0.22455,1.025,p0408
1.9874,0.26121,0.0020888,1.031e-14,1.736,1.6657,p0409
1.3207,0.94831,0.00085694,1.7381e-09,0.34562,1.4619,p0410
0.43529,0.9681,0.0024074,4.4933e-09,0.5479,0.62301,p0411
0.7802,0.39555,0.0019861,1.2054e-14,0.441,0.22633,p0412
1.6692,0.99795,0.0026688,1.495e-09,1.1595,0.88608,p0413
0.19495,0.64243,0.0028918,2.1049e-09,1.9491,1.8861,p0414
0.40491,0.67221,0.00080765,1.013e-07,0.34014,0.787,p0415
0.92007,1.254,0.00092502,2.7999e-12,0.79384,0.81222,p0416
1.31,0.62193,0.00095882,3.1538e-08,0.77781,1.8433,p0417
0.2516,0.82101,0.0011488,8.9106e-13,1.8537,1.829,p0418
1.9075,0.92084,0.0019316,1.041e-12,0.86773,1.4159,p0419
1.0509,1.4278,0.0011131,1.351e-09,1.5232,1.6214,p0420
1.5878,0.37697,0.0010882,2.858e-08,1.8082,1.4814,p0421
1.0603,1.1965,0.0010147,3.6033e-07,0.25609,0.70605,p0422
0.94574,0.55294,0.0018621,1.5791e-06,0.50496,0.93321,p0423
0.5346,0.61392,0.001133,2.363e-13,0.82712,1.2663,p0424
0.79841,0.62725,0.0012253,1.2554e-07,0.73711,0.8761,p0425
0.73075,1.0845,0.0014112,5.3186e-08,1.0054,1.8934,p0426
0.8021,0.46818,0.00092613,1.7708e-15,1.4955,0.88003,p0427
0.95045,0.8673,0.00094139,2.7965e-13,1.075,0.81058,p0428
0.26489,1.4358,0.00089774,6.5098e-13,1.4753,1.8082,p0429
1.15,0.66254,0.0014777,2.1971e-11,0.24739,1.4257,p0430
1.2629,0.21876,0.0018374,1.9534e-11,0.1747,0.30913,p0431
1.696,1.3987,0.0027392,2.3265e-07,0.76547,1.7894,p0432
1.0745,1.0739,0.0010547,5.1513e-13,1.2461,1.6769,p0433
0.32954,0.74809,0.0011449,1.6096e-08,0.51098,1.9625,p0434
1.816,0.83409,0.0022076,2.349e-09,0.069998,0.94346,p0435
1.7413,1.1693,0.00091773,3.9867e-10,0.25922,1.6034,p0436
1.8416,0.17432,0.0011975,1.1785e-12,0.66587,1.1457,p0437
1.78,1.3288,0.0014738,3.8017e-11,0.78364,1.5227,p0438
1.9576,0.55678,0.0017778,6.9926e-12,0.19474,1.0557,p0439
1.5228,0.438,0.0017462,6.6973e-06,0.64618,1.9797,p0440
1.7378,0.72261,0.0008788,8.9039e-11,0.63496,0.11107,p0441
0.95609,0.9611,0.0029994,1.6806e-10,1.4783,0.46396,p0442
1.2808,0.55433,0.0028738,7.0883e-15,1.8627,1.9853,p0443
0.56386,0.13485,0.0019674,2.0314e-12,1.7385,1.3969,p0444
1.6457,1.2731,0.0017408,8.8026e-09,1.9989,0.90199,p0445
0.34584,0.28105,0.0011527,8.8983e-14,0.20661,0.50881,p0446
0.12211,1.497,0.00099613,1.6188e-10,0.40828,0.1339,p0447
1.9049,0.12708,0.0021926,4.6508e-07,1.1674,1.5463,p0448
1.3611,0.77117,0.0012954,5.0078e-09,1.6911,1.922,p0449
0.39843,0.91117,0.0020655,5.2504e-13,1.3955,1.0283,p0450
0.57358,0.91306,0.002674,6.2492e-07,1.2047,1.0896,p0451
1.7184,1.0171,0.0021209,1.2028e-09,0.59892,0.82315,p0452
0.2947,0.28609,0.0013894,4.6001e-06,1.816,1.6968,p0453
1.0152,0.22208,0.0010168,4.2401e-15,1.7634,1.1552,p0454
1.3995,0.35653,0.0015535,8.2943e-08,0.72363,1.5424,p0455
1.2375,0.3273,0.00082436,7.5439e-13,0.2046,0.2702,p0456
1.7298,0.1837,0.00294,2.6771e-06,0.64913,1.7768,p0457
0.6136,0.65748,0.0013445,2.4203e-08,1.919,0.75778,p0458
0.97337,0.38576,0.0017895,1.917e-14,1.5994,1.9578,p0459
0.24457,1.2805,0.0027017,2.3338e-06,1.9402,0.44692,p0460
1.7469,0.58883,0.00097634,1.5046e-14,1.0298,0.93909,p0461
1.2975,0.3045,0.0016834,1.7752e-08,1.4197,1.1675,p0462
0.96706,0.14842,0.0022493,6.1279e-08,0.99863,1.5522,p0463
1.16,0.49626,0.0017146,9.5232e-14,0.42497,1.7101,p0464
0.8902,1.4709,0.0018967,4.1832e-06,0.32943,1.068,p0465
1.2708,1.1084,0.0018214,3.6743e-07,1.2099,1.0057,p0466
1.3196,1.0495,0.0021465,7.5881e-09,1.5265,1.995,p0467
0.38223,0.97564,0.0012569,6.0171e-11,1.8871,1.9904,p0468
1.8195,1.1407,0.0013693,9.7468e-07,0.67865,0.14907,p0469
1.6918,1.1729,0.0012603,1.7282e-15,1.6798,1.1181,p0470
1.3358,0.74642,0.00090251,1.8829e-14,1.1175,1.0335,p0471
1.3322,1.2354,0.0010348,4.4713e-07,1.7086,1.2614,p0472
0.89863,0.82963,0.0013977,1.5902e-11,0.26779,1.8666,p0473
0.36647,1.2897,0.0018677,1.2014e-08,1.055,1.7352,p0474
1.4302,0.66671,0.001911,1.076e-11,0.048965,0.47363,p0475
1.6388,0.93682,0.001971,1.9436e-08,1.4123,0.91138,p0476
0.21894,0.14548,0.0017692,1.0997e-13,0.01857,1.2773,p0477
1.5949,0.27534,0.0027839,7.1642e-11,1.557,0.75273,p0478
1.5004,0.14376,0.0023447,1.4735e-13,0.77596,1.7658,p0479
1.4612,1.3231,0.0026365,4.121e-11,0.21646,1.7803,p0480
0.29004,0.29724,0.0017568,5.3362e-07,1.648,0.76586,p0481
0.45041,0.97754,0.0010687,4.5446e-06,1.5637,0.57951,p0482
1.8527,0.53721,0.0010789,7.4483e-11,1.1243,0.41371,p0483
0.6023,0.63752,0.0028032,2.1471e-12,1.5162,1.4702,p0484
0.18778,0.31573,0.0024985,3.1655e-13,0.88756,1.3369,p0485
1.2261,0.7114,0.0019649,1.8475e-10,1.7147,0.80208,p0486
1.5675,0.80241,0.0012075,3.2057e-15,0.13971,0.12698,p0487
0.88056,1.0074,0.0028518,2.4798e-07,1.108,0.54162,p0488
0.70105,0.24867,0.0019054,1.4738e-15,0.42019,1.1502,p0489
1.9978,0.47044,0.0018824,9.818e-10,1.3279,1.9452,p0490
1.7651,1.0054,0.00096496,8.2768e-12,0.027429,1.0187,p0491
1.1736,1.4765,0.0017261,1.342e-12,0.063693,1.6156,p0492
0.86255,0.40832,0.0015394,9.5908e-14,1.5049,1.3709,p0493
1.5758,0.54252,0.0010727,3.1189e-13,0.71525,0.72858,p0494
1.9848,0.12196,0.00094384,3.4916e-11,1.3979,1.5016,p0495
0.64854,1.309,0.0023602,3.5179e-10,0.70209,0.51892,p0496
1.7765,0.93317,0.0013045,1.2643e-08,0.35767,1.6195,p0497
0.67826,0.27713,0.00097428,8.8777e-06,0.54351,1.0494,p0498
1.3466,0.98372,0.0017595,1.6142e-13,0.12599,0.79167,p0499
1.7444,1.1016,0.0026554,3.3108e-11,1.0921,0.77025,p0500
